customer_id,churn,y_pred,no_churn_proba,churn_proba
0003-MKNFE,0,1,0.3682802644620361,0.6317197355379639
0013-MHZWF,0,1,0.33568691276358253,0.6643130872364175
0015-UOCOJ,0,1,0.3885344049778279,0.6114655950221721
0023-HGHWL,1,1,0.41451836077355175,0.5854816392264482
0032-PGELS,1,1,0.3950384638431068,0.6049615361568932
0067-DKWBL,1,1,0.3379008201623728,0.6620991798376272
0076-LVEPS,0,0,0.6158789344386271,0.38412106556137293
0082-LDZUE,0,1,0.34626219546410686,0.6537378045358931
0096-BXERS,0,1,0.37176119418230236,0.6282388058176976
0096-FCPUF,0,0,0.5676100886271327,0.43238991137286736
0106-GHRQR,0,1,0.4011642003009731,0.5988357996990269
0117-LFRMW,1,0,0.7008574655512663,0.29914253444873373
0128-MKWSG,0,0,0.5849731032751773,0.4150268967248227
0156-FVPTA,1,0,0.5175756005637892,0.48242439943621085
0191-ZHSKZ,0,0,0.5337295300477705,0.4662704699522296
0212-ISBBF,0,0,0.5309663426087047,0.4690336573912953
0222-CNVPT,0,0,0.7964031998485706,0.20359680015142942
0224-HJAPT,1,1,0.37276949112800095,0.627230508871999
0224-RLWWD,0,1,0.35500874885110223,0.6449912511488978
0228-MAUWC,0,1,0.47011164352713997,0.52988835647286
0248-IPDFW,0,1,0.3261971657338423,0.6738028342661577
0257-KXZGU,0,0,0.5962318545471799,0.4037681454528202
0260-ZDLGK,1,1,0.3256426165859355,0.6743573834140645
0274-JKUJR,0,1,0.35375966600302333,0.6462403339969767
0277-BKSQP,0,1,0.37765920185223345,0.6223407981477665
0282-NVSJS,0,0,0.5044832672158974,0.4955167327841026
0285-INHLN,0,0,0.5687738252814003,0.43122617471859975
0289-IVARM,0,0,0.6268902829506631,0.37310971704933693
0292-WEGCH,0,0,0.7413059418057448,0.2586940581942551
0295-QVKPB,0,1,0.3171491244318473,0.6828508755681527
0311-QYWSS,0,1,0.3749843610723581,0.6250156389276419
0314-TKOSI,0,1,0.35535804272943605,0.644641957270564
0319-QZTCO,0,1,0.3159072970829866,0.6840927029170134
0322-CHQRU,1,1,0.3513428793807316,0.6486571206192684
0322-YINQP,1,1,0.3317833749424909,0.6682166250575091
0356-ERHVT,0,1,0.436279286624884,0.563720713375116
0374-AACSZ,0,1,0.32603009359719937,0.6739699064028006
0374-IOEGQ,0,1,0.362933342510094,0.637066657489906
0375-HVGXO,1,1,0.37959140549814274,0.6204085945018573
0377-JBKKT,0,0,0.506557174858641,0.49344282514135895
0384-RVBPI,0,1,0.4670015566058955,0.5329984433941045
